இலக்கம்,பெயர்,அறிமுக வருடம்,அறிமுக படம்,பிறந்த திகதி,பிறந்த இடம்,அறிமுகம்,உள்ளடக்கம்
1,அஞ்சலிதேவி,,,1927-08-24,"பெத்தாபுரம், கிழக்கு கோதாவரி மாவட்டம், சென்னை மாகாணம்","அஞ்சலிதேவி (Anjali Devi,  தெலுங்கு: అంజలీదేవి, 24 ஆகத்து 1927 - 13 சனவரி 2014) பழம்பெரும் தெலுங்கு, மற்றும் தமிழ் திரைப்பட நடிகையும், திரைப்படத் தயாரிப்பாளரும் ஆவார். லவகுசா திரைப்படத்தில் சீதையாக நடித்துப் புகழ் பெற்றவர்.",அஞ்சனிதேவி என்ற இயற்பெயரைக் கொண்ட அஞ்சலிதேவி ஆந்திரா மாநிலம் கிழக்கு கோதாவரி மாவட்டத்தில் பெத்தாபுரம் என்ற ஊரில் நூக்கையா-சத்யவதி என்பவருக்குப் பிறந்தவர். ஆரம்ப காலங்களில் நாடகங்களில் நடித்த அஞ்சலிதேவி நடிப்புத் தொழிலுக்காக சென்னைக்கு 40களில் குடிபெயர்ந்தார்.[1]
2,டி. ஆர். ராஜகுமாரி,1939,குமார குலோத்துங்கன்,1922-05-05,"தஞ்சாவூர், சென்னை மாகாணம், பிரித்தானிய இந்தியா","டி. ஆர் ராஜகுமாரி (மே 5, 1922 – செப்டம்பர் 20, 1999) தமிழ்த் திரையுலகின் முன்னணி நடிகையாக இருந்தவர். நடிப்பு, நடனம், பாடல் அனைத்திலும் பெயர்பெற்றவர்.","ராஜாயி என்னும் இயற்பெயரைக் கொண்ட டி. ஆர். ராஜகுமாரி தஞ்சாவூரில் இராதாகிருஷ்ணன்-ரெங்கநாயகி தம்பதியருக்கு முதல் மகளாக பிறந்தார், இவர் தாயார் ரெங்கநாயகி தஞ்சை குசலாம்பாள் அவர்களின் புகழ் பெற்ற இசை மேதை குடும்பத்தைச் சேர்ந்தவர். ராஜகுமாாி பிறந்த சில நாட்களிலே தகப்பனரான ராதாகிருஷ்ணன் இறந்துவிட்டார். இவர் திருமணம் செய்து கொள்ளாமல் தனது இளைய சகோதரர் ஆன டி. ஆர். ராமண்ணா குடும்பத்துடன் ஆதரவாக வாழ்ந்தார்."
3,பத்மினி,,,1932-06-12,"திருவனந்தபுரம், திருவிதாங்கூர்","பத்மினி (சூன் 12, 1932 - செப்டம்பர் 24, 2006) பிரபல இந்திய நடிகை ஆவார். தமிழ், தெலுங்கு, மலையாளம், கன்னடம், இந்தி ஆகிய மொழிப்படங்களில் நடித்தும் நாட்டியமாடியும் புகழ் பெற்றவர். நாட்டியப் பேரொளி எனப் பெயர் எடுத்தவர்.","திருவனந்தபுரத்தில் பூஜாப்புர பகுதியில் பிறந்த பத்மினியின் பெற்றோர் தங்கப்பன், சரஸ்வதி ஆவர். இவரது மூத்த சகோதரி லலிதா, இளையவர் ராகினி இருவரும் புகழ்பெற்ற நாட்டிய நடிகைகள். இவர்கள் திருவாங்கூர் சகோதரிகள் என அழைக்கப்பட்டனர். இவர்களது பெரிய தாயாரின் கலை ஆர்வமே இவர்களை நடனத்தில் ஈடுபடச் செய்தது. பெரிய தாயாருக்கு மலாயாவில் இரப்பர் தோட்டங்கள் உள்ளன. திருவாங்கூரில் பல தொழில் நிறுவனங்களில் இயக்குனராக இருந்தவர்.[2] மற்றொரு பெரிய தாயார் திருவாங்கூர் மகாராணியின் சகோதரரின் மனைவி.[2] திருவாங்கூர் சகோதரிகளின் சகோதரர் பெயர் சந்திரசேகர் ஆகும். பத்மினி 1961 ஆம் ஆண்டு, டாக்டர் இராமச்சந்திரன் என்பவரை மணந்தார். பிறகு 1977இல் அமெரிக்காவில் நியூ ஜெர்சியில் குடியேறினார். அங்கு பத்மினி ஸ்கூல் ஆஃப் ஃபைன் ஆர்ட்ஸ் என்ற அமைப்பை நிறுவி நாட்டியம் பயிற்றுவித்தார்."
4,அம்பிகா,,,1962-11-16,"கல்லாரா, திருவனந்தபுரம், கேரளம், இந்தியா","அம்பிகா  ஒரு திரைப்பட நடிகை. அவர் தமிழ், கன்னடம், மலையாளம், தெலுங்கு படங்களில் நடித்துள்ளார்.தற்போது நாயகி என்ற சீரியலில் நடித்து வருகிறார். அவரது சகோதரி ராதாவும் சமகாலத்தில் திரைப்பட நடிகையாகத் திகழ்ந்தார்.","திருவனந்தபுரம் மாவட்டத்தில் அமைந்துள்ள கல்லரா கிராமத்தில் ( கல்லாரா, திருவனந்தபுரம் ) குஞ்சன் நாயர் மற்றும் சரசம்மா ஆகியோருக்கு 1962 இல் அம்பிகா பிறந்தார் . அவரது தாயார் கல்லாரா சரசம்மா 2014 ஆம் ஆண்டில் மஹிலா காங்கிரஸ் தலைவராக இருந்தார். அவருக்கு இரண்டு தங்கைகள், ராதா மற்றும் மல்லிகா, மற்றும் இரண்டு இளைய சகோதரர்கள், அர்ஜுன் மற்றும் சுரேஷ் உள்ளனர்."
5,அமலா,,,1968-09-12,,"அமலா (பிறப்பு:செப்டம்பர் 12, 1968), இந்தியத் திரைப்பட நடிகை ஆவார். தமிழ், தெலுங்கு, இந்தி, மலையாளம் மற்றும் கன்னட மொழித் திரைப்படங்களில் நடித்துள்ளார்.","அமலா ஐரிஷ் தாய்க்கும் பெங்காலி தந்தைக்கும் மகளாக செப்டம்பர் 12, 1968 அன்று மேற்கு வங்கத்தில் பிறந்தார். அவருக்கு ஒரு சகோதரரும் சகோதரியும் உண்டு. விலங்குகள் மேல் கொண்ட அன்பால் 1992ஆம் ஆண்டு அமலா ஐதராபாத் புளு கிராசு இயக்கத்தை தொடங்கினார். 2015இல் அவர் தலைவியாக உள்ளார்.[1] இவரது மகன் அகில் அக்கினேனியும் ஒரு திரைப்பட நடிகர்."
6,கே. பி. சுந்தராம்பாள்,,,1908-10-11,"கொடுமுடி, ஈரோடு மாவட்டம், தமிழ்நாடு, இந்தியா","கே. பி. சுந்தராம்பாள் என அறியப்படும் கொடுமுடி பாலாம்பாள் சுந்தராம்பாள் (அக்டோபர் 11, 1908 - செப்டம்பர் 19, 1980)[1] தமிழிசை, நாடகம், அரசியல், திரைப்படம், ஆன்மிகம் எனப் பலதுறைகளிலும் புகழ் ஈட்டியவர். இவர் கொடுமுடி கோகிலம் என்றும் அழைக்கப்பட்டார்.[2][3][4]","ஈரோடு மாவட்டத்திலுள்ள கொடுமுடியில் பாலாம்பாள் என்ற அம்மையாருக்கு சுந்தராம்பாள் பிறந்தார். இவருக்கு கனகசபாபதி, சுப்பம்மாள் என்ற இரண்டு சகோதரர்கள். இளம்வயதிலேயே தந்தையை இழந்தார். தனது சகோதரர்களின் ஆதரவால், குடும்பத்தை நடத்தி வந்தார் தாயார். 'கொடுமுடி லண்டன் மிஷன் பள்ளி'யில் கல்வி கற்றார் சுந்தராம்பாள்."
7,கண்ணாம்பா,,,1911-10-05,"குட்டப்பா,ஆந்திரப் பிரதேசம்","பி. கண்ணாம்பா (பசுப்புலேட்டி கண்ணாம்பா, தெலுங்கு: పసుపులేటి కన్నాంబ, அக்டோபர் 5, 1911[1][2] - மே 7, 1964) பிரபலமான  தமிழ் மற்றும் தெலுங்குத் திரைப்பட நடிகை. மு. கருணாநிதியின் மனோகரா திரைப்படம் மூலம் வசனத்தை திறம்பட பேசி எல்லோராலும் பாராட்டை பெற்றவர். 150 படங்களுக்கு மேல் நடித்துள்ளார். 25 படங்களை தயாரித்தும் உள்ளார்.","கண்ணாம்பா தெலுங்கைத் தாய் மொழியாக கொண்டவர். ஆந்திரப் பிரதேசம், குட்டப்பா என்ற ஊரில் எம். வெங்கணராசையா, லோகாம்பா ஆகியோருக்கு ஒரே குழந்தையாகப் பிறந்தார். தாயின் பெற்றோருடன் ஏலூருவில் வளர்ந்தார். 1927 ஆம் ஆண்டு கண்ணம்பா 16 வயதில் நாரலா நாடகி சமாஜன் நாடக மன்றத்தில் சேர்ந்து அரிச்சந்திரா நாடகத்தில் சந்திரமதியாக நடித்து பெயர் பெற்றார். அதன் பிறகு அந்த நாடக மன்றம் மேடையேற்றிய அனுஷியா, சாவித்திரி, யசோதா போன்ற நாடகங்களில் நடித்தார். இந்நாடக நிர்வாகிகளில் ஒருவரான கே. பி. நாகபூஷணம் 1934 இல் கண்ணாம்பாவைத் திருமணம் செய்து கொண்டார். அதே ஆண்டு இருவரும் ஸ்ரீ ராஜராஜேஸ்வரி நாட்டிய மண்டலி என்ற புதிய நாடகக் கம்பனியை ஆரம்பித்து தென்னிந்தியாவெங்கும் நாடகங்களை நடத்தி வந்தார்கள். இவர்களுக்கு குழந்தைகள் இல்லாததால் ஒரு ஆண்பிள்ளையும், பெண் பிள்ளையையும் தத்தெடுத்து வளர்த்தார்கள். மகள் ராஜராஜேஸ்வரி பிரபல தெலுங்கு இயக்குனர் சி. புல்லையாவின் மகனைத் திருமணம் செய்து கொண்டார்."
8,பானுமதி,,,1925-09-07,"ஆங்கோலிற்கு அருகிலுள்ள தோடவரம், பிரகாசம் மாவட்டம், ஆந்திரப் பிரதேசம், இந்தியா","பி. பானுமதி (Paluvayi Bhanumathi Ramakrishna, பானுமதி இராமகிருஷ்ணா, 7 செப்டம்பர் 1925 – 24 டிசம்பர் 2005) பல மொழிகளில் நடித்த ஓர் இந்தியத் திரைப்பட நடிகை, இயக்குனர், இசையமைப்பாளர், பாடகி, தயாரிப்பாளர், எழுத்தாளர் மற்றும் பாடலாசிரியர் ஆவார். இவரின் பெரும்பாலான திரைப்படப் பங்களிப்புகள் தமிழ் மற்றும் தெலுங்கு மொழிகளிலேயே அமைந்திருந்தன.   திரைப்படத்துறைக்கு இவராற்றிய பங்களிப்பிற்காக 2003ஆம் ஆண்டு பத்ம பூசண் விருது வழங்கப்பட்டு பெருமைபடுத்தப்பட்டார்.",7 செம்படம்பர் 1925 அன்று ஆந்திராவில் உள்ள தோடவரம் என்னும் சிற்றூரில் பொம்மராஜூ வெங்கடசுப்பையா - அம்மனியம்மா தம்பதியினருக்கு மகளாகப் பிறந்தார் பானுமதி. அவர்  சிறு வயதிலேயே இசை ஆர்வம் கொண்டிருந்தார். அவருடைய தந்தை அவருக்குக் கர்நாடக சங்கீதத்தை முறைப்படிக் கற்றுக்கொடுத்தார். தன் முதல் படத்திலேயே தியாகராஜ கீர்த்தனைகள் பாடிப் புகழ் பெற்றார் பானுமதி.[1]
9,சாவித்திரி,,,1936-12-06,"சிரவூர், சென்னை மாகாணம், பிரித்தானிய இந்தியா ","சாவித்திரி கணேஷ் (Savithri Ganesh, தெலுங்கு: సావిత్రి కొమ్మారెడ్డి; டிசம்பர் 6, 1936 – டிசம்பர் 26, 1981), புகழ் பெற்ற ஒரு தென்னிந்தியத் திரைப்பட நடிகை, திரைப்பட இயக்குனர், தயாரிப்பாளர் ஆவார். இவர் தமிழ், தெலுங்கு, கன்னடம், இந்தி மொழிகளில் 318 படங்களில் நடித்திருக்கிறார்.","சாவித்திரி ஆந்திரப் பிரதேசத்தில் குண்டூரில் சிறாவூர் என்ற இடத்தில் நிசங்கர  குருவையா ரெட்டி,  சுபத்திரம்மா ஆகியோருக்குப் மகளாக பிறந்தவர். சாவித்திாியின் இயற்பெயர் சரசவாணிதேவி என்பதே ஆகும்.  சிஸ்டா பூர்ணையா சாத்திரிகளிடம் இசை மற்றும் நடனம் பயின்றார். இளம் வயதிலேயே மேடைகளில் தோன்றி நடித்தார்[1]. 1952-ஆம் ஆண்டு இவர் நடிகர் செமினி கணேசனை மணந்தார்."
10,ஈ. வி. சரோஜா,1989,என் தங்கை,,,"சாவித்திரி கணேஷ் (Savithri Ganesh, தெலுங்கு: సావిత్రి కొమ్మారెడ్డి; டிசம்பர் 6, 1936 – டிசம்பர் 26, 1981), புகழ் பெற்ற ஒரு தென்னிந்தியத் திரைப்பட நடிகை, திரைப்பட இயக்குனர், தயாரிப்பாளர் ஆவார். இவர் தமிழ், தெலுங்கு, கன்னடம், இந்தி மொழிகளில் 318 படங்களில் நடித்திருக்கிறார்.","சாவித்திரி ஆந்திரப் பிரதேசத்தில் குண்டூரில் சிறாவூர் என்ற இடத்தில் நிசங்கர  குருவையா ரெட்டி,  சுபத்திரம்மா ஆகியோருக்குப் மகளாக பிறந்தவர். சாவித்திாியின் இயற்பெயர் சரசவாணிதேவி என்பதே ஆகும்.  சிஸ்டா பூர்ணையா சாத்திரிகளிடம் இசை மற்றும் நடனம் பயின்றார். இளம் வயதிலேயே மேடைகளில் தோன்றி நடித்தார்[1]. 1952-ஆம் ஆண்டு இவர் நடிகர் செமினி கணேசனை மணந்தார்."
