இலக்கம்,பெயர்,அறிமுக வருடம்,அறிமுக படம்,பிறந்த திகதி,பிறந்த வருடம்,சுருக்கம்
1,அஞ்சலிதேவி,-,-,1927-08-24,"பெத்தாபுரம், கிழக்கு கோதாவரி மாவட்டம், சென்னை மாகாணம்",
2,டி. ஆர். ராஜகுமாரி,1939,குமார குலோத்துங்கன்,1922-05-05,"தஞ்சாவூர், சென்னை மாகாணம், பிரித்தானிய இந்தியா",
3,பத்மினி,-,-,1932-06-12,"திருவனந்தபுரம், திருவிதாங்கூர்",
4,அம்பிகா,-,-,1962-11-16,"கல்லாரா, திருவனந்தபுரம், கேரளம், இந்தியா",
5,அமலா,-,-,1968-09-12,,
6,கே. பி. சுந்தராம்பாள்,-,-,1908-10-11,"கொடுமுடி, ஈரோடு மாவட்டம், தமிழ்நாடு, இந்தியா",
7,கண்ணாம்பா,-,-,1911-10-05,"குட்டப்பா,ஆந்திரப் பிரதேசம்",
8,பானுமதி,-,-,1925-09-07,"ஆங்கோலிற்கு அருகிலுள்ள தோடவரம், பிரகாசம் மாவட்டம், ஆந்திரப் பிரதேசம், இந்தியா",
9,சாவித்திரி,-,-,1936-12-06,"சிரவூர், சென்னை மாகாணம், பிரித்தானிய இந்தியா ",
10,ஈ. வி. சரோஜா,1989,என் தங்கை,-,-,
11,சரோஜாதேவி,-,-,1938-01-07,"கர்நாடகா, இந்தியா",
12,தேவிகா,-,-,1943-04-25,சென்னை,
13,ராஜசுலோசனா,-,-,1935-08-15,"விசயவாடா, சென்னை மாகாணம்",
14,ஜி. வரலட்சுமி,-,-,1926-09-27,"ஓங்கோல், ஆந்திரப் பிரதேசம், இந்தியா",
15,ஜெயலலிதா,1965,வெண்ணிற ஆடை,1948-02-24,"மேல்கோட்டை, மைசூர், இந்தியா",
16,நிர்மலா,1965,வெண்ணிற ஆடை,1948-06-28,"கும்பகோணம், தஞ்சாவூர் மாவட்டம்,சென்னை மாகாணம்",
17,லதா,-,-,1953-06-07,"தமிழ்நாடு, இந்தியா",
18,ரேவதி,1983,மண்வாசனை,1966-07-08,"கொச்சி, கேரளா, இந்தியா",
19,ராதிகா,1978,கிழக்கே போகும் இரயில்,1963-08-21,"கொழும்பு, இலங்கை🇱🇰",
20,சரிதா,-,-,1960-06-07,"குண்டகல் ஆந்திர பிரதேசம், இந்தியா",
21,ஸ்ரீவித்யா,-,-,-,"சென்னை, தமிழ்நாடு, இந்தியா",
22,சுஜாதா,-,-,1952-12-10,இலங்கை,
23,ஸ்ரீபிரியா,-,-,1956-03-05,"சென்னை, தமிழ்நாடு, இந்தியா",
24,ஸ்ரீதேவி,-,-,1963-08-13,"மீனம்பட்டி,[1] சிவகாசி, தமிழ்நாடு, இந்தியா",
25,சுகன்யா,1991,புது நெல்லு புது நாத்து,1969-07-09,"சென்னை, தமிழ்நாடு, இந்தியா",
26,வாணிஸ்ரீ,-,-,1948-08-03,"நெல்லூர், சென்னை மாகாணம், இந்தியா",
27,காஞ்சனா,-,-,-,-,
28,சீதா,-,-,1968-07-13,"சென்னை, தமிழ்நாடு",
29,நளினி,-,-,-,"சென்னை, தமிழ் நாடு",
30,சுகாசினி,-,நெஞ்சத்தைக் கிள்ளாதே,1961-08-15,"பரமக்குடி, தமிழ்நாடு, இந்தியா",
31,ராதா,1981,அலைகள் ஓய்வதில்லை,1966-06-03,"திருவனந்தபுரம், கேரளா, இந்தியா",
32,ஷோபனா,-,-,1970-03-21,"கேரளா, இந்தியா",
33,ஷோபா,-,-,1962-09-23,"செப்டம்பர் 23, 1962(1962-09-23)",
34,ரம்பா,1993,உழவன்,1974-06-05,"விசயவாடா, ஆந்திரப் பிரதேசம், இந்தியா",
35,சுவலட்சுமி,-,ஆசை,1977-08-19,கொல்கத்தா,
36,ஜோதிகா,1999,வாலி,1978-10-18,"மும்பை, இந்தியா",
37,நக்மா,1994,காதலன்,1974-12-25,"மும்பை, இந்தியா",
38,சிம்ரன்,1997,ஒன்ஸ்மோர்,1976-04-04,"மும்பை, மகாராஷ்டிரா, இந்தியா",
39,மாளவிகா,1999,உன்னைத் தேடி,1979-07-19,"பெங்களூர், இந்தியா",
40,சங்கீதா,-,-,-,-,
41,ஷாலினி,1997,காதலுக்கு மரியாதை,1979-11-20,"திருவல்லா, கேரளா, இந்தியா",
42,லைலா,1999,கள்ளழகர்,1980-10-24,"கோவா, இந்தியா",
43,ஸ்னேகா,2002,விரும்புகிறேன்,1981-10-12,"மும்பை, இந்தியா[1]",
44,பூஜா,2003,ஜே ஜே,1981-06-25,கொழும்பு இலங்கை,
45,கௌதமி,1988,குரு சிஷ்யன்,1965-07-02,"ஸ்ரீகாகுளம்,சிறீகாகுளம் மாவட்டம், ஆந்திரப் பிரதேசம், இந்தியா",
46,ரம்யா கிருஷ்ணன்,-,-,1970-09-15,"சென்னை,",
47,திரிஷா,2002,லேசா லேசா,1983-05-04,"சென்னை ,  தமிழ் நாடு",
48,ரீமா சென்,2001,மின்னலே,1981-10-29," கொல்கத்தா, இந்தியா",
49,வித்யா பாலன்,-,-,1978-01-01,"பாலக்காடு, கேரளா, இந்தியா",
50,பானுப்பிரியா,-,-,1966-01-15,"ஆந்திரப் பிரதேசம், இந்தியா",
51,நந்திதா தாஸ்,-,-,1969-11-07,"புதுடில்லி, இந்தியா",
52,வசுந்தரா தாஸ்,1999,ஹேராம்,-,"பெங்களூர், இந்தியா",
53,கனகா,-,-,1973-07-14,"சென்னை, தமிழ்நாடு, இந்தியா",
54,கனிகா,2002,ஸ்டார்,1982-07-03,"மதுரை, தமிழ் நாடு, இந்தியா",
55,சில்க் ஸ்மிதா,-,-,1960-12-02,"ஏலூரு, ஆந்திரப்பிரதேசம், இந்தியா",
56,நமிதா,2004,எங்கள் அண்ணா,1981-05-10,,
57,கௌசல்யா,-,-,-,-,
58,சோனியா அகர்வால்,2003,காதல் கொண்டேன்,1982-03-28,பஞ்சாப் இந்தியா,
59,மீனா,-,-,1976-09-16,"சென்னை, தமிழ்நாடு, இந்தியா",
60,மீரா ஜாஸ்மின்,2002,ரன்,1982-02-15,"கோழிக்கோடு,கேரளா,  இந்தியா",
61,மனோரமா,-,-,1937-05-26,"மன்னார்குடி, தமிழ்நாடு[1]",
62,ராதா,-,-,-,-,
63,கோபிகா,2004,ஆட்டோகிராஃப்,1985-02-01,"ஒல்லூர், திருச்சூர், கேரளம்",
64,அசின்,2004,எம். குமரன் சன் ஆஃவ் மஹாலஷ்மி,1985-10-26,"கொச்சி, கேரளம், இந்தியா",
65,பத்மபிரியா,2005,தவமாய் தவமிருந்து,1980-02-28,"தில்லி, இந்தியா",
66,ஷ்ரேயா ரெட்டி,2006,வெயில்,1983-04-03,"ஐதராபாத்து, ஆந்திரப் பிரதேசம், இந்தியா",
67,ஷ்ரேயா,2003,எனக்கு 20 உனக்கு 18,1982-09-11,"தேராதூன்,இந்தியா",
68,சதா,2003,ஜெயம்,1984-02-17,"இரத்தினகிரி, மகாராஷ்டிரம், இந்தியா",
69,நவ்யா நாயர்,2004,அழகிய தீயே,1985-10-14,"கேரளா, இந்தியா",
70,விமலா ராமன்,2006,பொய்,1984-01-23,"சிட்னி, ஆஸ்திரேலியா",
71,பாவனா,2006,சித்திரம் பேசுதடி,1986-06-06,"திருச்சூர், கேரளா  இந்தியா",
72,நயன்தாரா,2005,ஐயா,1984-11-18,"பெங்களூர், கருநாடகம், இந்தியா[4][5]",
73,ஜெனிலியா,2003,பாய்ஸ்,1987-08-05,"மும்பை, இந்தியா",
74,சந்தியா,2004,காதல்,1988-09-27,"கேரளம்,",
75,அனுஷ்கா செட்டி,2006,ரெண்டு,1981-11-07,"மங்களூர்,கர்நாடகா இந்தியா",
76,வேதிகா குமார்,2005,மதராசி,-,-,
77,வி. என். ஜானகி,-,-,1924-09-23,"வைக்கம், கேரளா இந்தியா",
78,சௌந்தர்யா,-,பொன்னுமணி,1972-07-18,"கோலார், கருநாடகம், இந்தியா",
79,ரிச்சா பலோட்,2001,சாஜாகான்,1980-08-30,"மும்பை, இந்தியா",
80,ரேணுகா மேனன்,2005,தாஸ்,-,கேரளம்,
